City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
47,Castro,BR,-24.7911,-50.0119,62.8,88,21,2.57,few clouds,2021-03-15 03:20:18
48,Klaksvik,FO,62.2266,-6.589,37.4,81,40,11.5,scattered clouds,2021-03-15 03:21:37
49,Manaus,BR,-3.1019,-60.025,77.0,94,0,2.82,clear sky,2021-03-15 03:32:38
50,Damoh,IN,23.8333,79.45,86.27,17,0,6.78,clear sky,2021-03-15 03:34:44
51,Busselton,AU,-33.65,115.3333,75.99,41,0,7.0,clear sky,2021-03-15 03:25:38
52,Kaitangata,NZ,-46.2817,169.8464,57.6,91,100,8.08,overcast clouds,2021-03-15 03:25:25
53,Snezhnogorsk,RU,69.1933,33.2531,24.8,86,75,4.47,light snow,2021-03-15 03:34:45
54,Mahebourg,MU,-20.4081,57.7,77.0,94,75,2.3,moderate rain,2021-03-15 03:34:46
55,Constitucion,CL,-35.3333,-72.4167,56.32,88,93,1.77,overcast clouds,2021-03-15 03:34:46
56,Ilulissat,GL,69.2167,-51.1,12.2,52,100,8.05,overcast clouds,2021-03-15 03:25:14
57,Victoria,HK,22.2855,114.1577,79.0,60,20,4.61,few clouds,2021-03-15 03:26:11
58,Ludvika,SE,60.1496,15.1878,30.99,93,90,5.75,light snow,2021-03-15 03:34:47
59,Sechura,PE,-5.5569,-80.8222,78.28,69,98,10.96,overcast clouds,2021-03-15 03:32:30
60,Pevek,RU,69.7008,170.3133,-7.11,95,100,15.75,light snow,2021-03-15 03:23:08
61,Stawell,AU,-37.05,142.7667,68.79,52,72,5.53,broken clouds,2021-03-15 03:34:47
62,Maragogi,BR,-9.0122,-35.2225,76.44,80,99,6.35,overcast clouds,2021-03-15 03:34:48
63,Arraial Do Cabo,BR,-22.9661,-42.0278,76.3,86,99,16.6,overcast clouds,2021-03-15 03:34:48
64,Maracas,BR,-13.4411,-40.4308,60.8,96,29,5.37,scattered clouds,2021-03-15 03:34:49
65,Nikolskoye,RU,59.7035,30.7861,35.6,93,75,6.71,moderate rain,2021-03-15 03:25:05
66,Fairbanks,US,64.8378,-147.7164,15.8,56,1,3.09,clear sky,2021-03-15 03:31:02
67,Ahuimanu,US,21.4447,-157.8378,77.0,69,40,2.24,light rain,2021-03-15 03:34:49
68,Nanortalik,GL,60.1432,-45.2371,28.8,83,100,12.12,light snow,2021-03-15 03:25:57
69,Ayame,CI,5.6083,-3.1563,74.21,90,99,1.9,overcast clouds,2021-03-15 03:34:50
70,Hermanus,ZA,-34.4187,19.2345,61.0,95,91,1.01,moderate rain,2021-03-15 03:34:22
71,Bengkulu,ID,-3.8004,102.2655,85.8,63,7,1.88,clear sky,2021-03-15 03:21:29
72,Cape Town,ZA,-33.9258,18.4232,66.0,88,75,17.27,light rain,2021-03-15 03:33:53
73,Necochea,AR,-38.5473,-58.7368,57.0,94,0,1.99,clear sky,2021-03-15 03:34:51
74,Matara,LK,5.9485,80.5353,83.88,59,100,9.98,overcast clouds,2021-03-15 03:34:52
75,Konosha,RU,60.9736,40.257,30.4,97,100,7.02,overcast clouds,2021-03-15 03:34:52
76,Touros,BR,-5.1989,-35.4608,75.2,88,20,3.44,few clouds,2021-03-15 03:26:23
77,Viedma,AR,-40.8135,-62.9967,61.03,86,75,9.13,broken clouds,2021-03-15 03:30:25
78,Saintes,FR,45.6667,-0.75,42.8,93,90,6.91,overcast clouds,2021-03-15 03:34:53
79,Copiapo,CL,-27.3667,-70.3333,60.8,77,16,3.44,few clouds,2021-03-15 03:34:53
80,Shingu,JP,33.7333,135.9833,60.8,41,20,12.66,few clouds,2021-03-15 03:34:53
81,Derzhavinsk,KZ,51.1,66.3167,1.08,81,3,4.12,clear sky,2021-03-15 03:34:54
82,Barstow,US,34.8986,-117.0228,62.6,23,1,23.02,clear sky,2021-03-15 03:34:54
83,New Norfolk,AU,-42.7826,147.0587,71.01,41,20,3.0,few clouds,2021-03-15 03:34:55
84,Flinders,AU,-34.5833,150.8552,73.99,54,0,4.0,clear sky,2021-03-15 03:34:55
85,Pestovo,RU,58.5938,35.8024,34.65,97,100,7.61,overcast clouds,2021-03-15 03:34:55
86,Jijiga,ET,9.35,42.8,61.92,61,2,6.31,clear sky,2021-03-15 03:34:56
87,Pangnirtung,CA,66.1451,-65.7125,-18.42,88,4,1.68,clear sky,2021-03-15 03:22:13
88,Kenai,US,60.5544,-151.2583,19.99,86,90,8.05,light snow,2021-03-15 03:33:16
89,Hay River,CA,60.8156,-115.7999,3.2,78,100,12.66,light snow,2021-03-15 03:34:57
90,Jamestown,US,42.097,-79.2353,23.0,63,1,10.47,clear sky,2021-03-15 03:31:05
91,Port Said,EG,31.2565,32.2841,59.0,77,40,6.91,scattered clouds,2021-03-15 03:32:50
92,Atasu,KZ,48.6814,71.6433,2.46,88,98,5.17,overcast clouds,2021-03-15 03:34:57
93,Solnechnyy,RU,50.7214,136.6319,38.08,74,19,11.05,few clouds,2021-03-15 03:25:55
94,Alcala De Henares,ES,40.4821,-3.36,41.0,80,0,6.91,clear sky,2021-03-15 03:34:58
95,Bom Jesus,BR,-9.0744,-44.3586,72.72,85,32,1.12,scattered clouds,2021-03-15 03:34:58
96,Houma,US,29.5958,-90.7195,72.0,94,1,8.05,clear sky,2021-03-15 03:25:49
97,Namibe,AO,-15.1961,12.1522,75.52,83,100,4.34,overcast clouds,2021-03-15 03:34:59
98,Andenes,NO,69.3143,16.1194,34.0,69,75,11.5,broken clouds,2021-03-15 03:26:23
99,Carauari,BR,-4.8828,-66.8958,72.45,93,75,0.87,broken clouds,2021-03-15 03:35:00
100,Taltal,CL,-25.4,-70.4833,62.89,89,39,2.33,scattered clouds,2021-03-15 03:30:20
101,Hasaki,JP,35.7333,140.8333,64.0,38,40,6.91,scattered clouds,2021-03-15 03:35:00
102,Waggaman,US,29.9185,-90.2109,72.0,83,40,8.05,scattered clouds,2021-03-15 03:35:01
103,Padang,ID,-0.9492,100.3543,84.2,70,20,3.44,few clouds,2021-03-15 03:25:26
104,Pergamino,AR,-33.89,-60.5736,68.0,71,62,1.99,broken clouds,2021-03-15 03:33:10
105,Srednekolymsk,RU,67.45,153.6833,-5.49,90,19,8.12,few clouds,2021-03-15 03:25:53
106,Mount Isa,AU,-20.7333,139.5,86.0,48,40,11.5,scattered clouds,2021-03-15 03:35:02
107,Pichayevo,RU,53.2363,42.2032,25.3,91,73,14.97,broken clouds,2021-03-15 03:35:02
108,Atuona,PF,-9.8,-139.0333,80.42,69,7,10.6,clear sky,2021-03-15 03:33:55
109,Tessalit,ML,20.1986,1.0114,64.6,31,0,8.46,clear sky,2021-03-15 03:35:03
110,Meulaboh,ID,4.1363,96.1285,84.13,68,19,2.53,few clouds,2021-03-15 03:26:04
111,Neuquen,AR,-38.9516,-68.0591,69.8,60,0,4.61,clear sky,2021-03-15 03:32:03
112,Tiznit,MA,29.5833,-9.5,62.31,37,99,0.94,overcast clouds,2021-03-15 03:35:03
113,Sun City West,US,33.662,-112.3413,62.01,44,1,5.75,clear sky,2021-03-15 03:35:04
114,Westport,US,41.1415,-73.3579,30.99,34,1,20.71,clear sky,2021-03-15 03:25:30
115,Ndende,GA,-2.4008,11.3581,73.09,99,100,2.77,overcast clouds,2021-03-15 03:25:08
116,Nortelandia,BR,-14.4547,-56.8028,71.76,95,64,2.71,broken clouds,2021-03-15 03:35:05
117,Turinsk,RU,58.0458,63.696,13.66,88,3,10.51,clear sky,2021-03-15 03:35:05
118,Kahului,US,20.8947,-156.47,77.0,94,40,5.75,scattered clouds,2021-03-15 03:20:55
119,Vila,PT,42.0304,-8.1588,41.0,89,5,1.99,clear sky,2021-03-15 03:35:06
